"Link","Type","Title","Description","By","Country","Rating","Categories","Colors"
"https://www.awwwards.com/sites/zorro-web-design-agency","Nominees","Zorro Web Design Agency","Pertinens",NA,"United States",NA,"Design Agencies,UI design,Animation,Clean,Parallax,Scrolling,Interaction Design,Webflow",""
"https://www.awwwards.com/sites/upton-hansen-architects","Nominees","Upton Hansen Architects","Silvia Tcherassi",NA,"United Kingdom",NA,"Architecture,Typography,Transitions,UI design,Microinteractions,Clean,Project Page,Sketch,Craft CMS",""
"https://www.awwwards.com/sites/halcyon-cannabis","Nominees","Halcyon Cannabis","Depo Studio Promo Campaign",NA,"Canada",NA,"Food & Drink,Other,Interaction Design,Microinteractions,Scrolling,Video,Webflow,Figma",""
"https://www.awwwards.com/sites/mayren","Nominees","Mayren","Daria Volkova personal website",NA,"Croatia",NA,"Business & Corporate,Hotel / Restaurant,Real Estate,UI design,Navigation Menu,Contact Page,Parallax,Footer Design,Clean,HTML5,PHP,Wordpress,Bootstrap,CSS",""
"https://www.awwwards.com/sites/combat-fuel","Nominees","Combat Fuel","Château Haut-Bergeron",NA,"United Kingdom",NA,"Food & Drink,Sports,Filters and Effects,Photography,UI design,Big Background Images,Menu - Horizontal,CSS,Google Font API,HTML5,Wordpress,WooCommerce",""
"https://www.awwwards.com/sites/derive-technologies","Nominees","Derive Technologies","t4 Spatial",NA,"United States",NA,"Technology,Menu - Horizontal,Header Design,Contentful,Clean,Fullscreen,Horizontal Layout,Laravel",""
"https://www.awwwards.com/sites/2021-projects-of-the-year","Nominees","2021: Projects of the Year","Cetrucflotte",NA,"United States",NA,"Promotional,Web & Interactive,Experimental,Animation,Clean,Colorful,Typography,Gallery,Microinteractions,ReadyMag",""
"https://www.awwwards.com/sites/modem-works","Nominees","Modem Works","Jomor Design",NA,"Denmark",NA,"Design Agencies,Experimental,Clean,Graphic design,Typography,Menu - Horizontal",""
"https://www.awwwards.com/sites/studio-format","Nominees","Studio format","Matteo Valentino - Portfolio",NA,"France",NA,"Design Agencies,Web & Interactive,Graphic design,Minimal,Navigation Menu,Portfolio,Typography,Filters and Effects,CSS,HTML5,GLSL,PixiJS,BARBA.js,Javascript",""
"https://www.awwwards.com/sites/azeret-typeface","Nominees","Azeret Typeface","SheinX Vision",NA,"Republic",NA,"Promotional,Web & Interactive,App Style,Colorful,Graphic design,Scrolling,Typography,Microinteractions,SVG,GSAP Animation,After Effects,Figma,Adobe Illustrator",""
"https://www.awwwards.com/sites/stoov-r","Nominees","Stoov®","Made For_",NA,"Netherlands",NA,"E-Commerce,Colorful,Photography,Responsive Design,Menu - Horizontal,Responsive,Filters and Effects,Shopify",""
