"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@NFTGamingAus Hi I would like to introduce to you that Im willing and so much dedicate to work with you and Im also… https://t.co/idVX2RtNUx",FALSE,0,"NFTGamingAus",2021-12-27 12:42:43,TRUE,"1473502621298163714","1475447047054446597","1432245388895944704","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kent00450712",0,FALSE,FALSE,NA,NA
"@MoodyOwlNFT the ido price will probably be like x1000 but hey I will buy more. It’s like buying axie infinity when… https://t.co/2BmGhMwwjp",FALSE,0,"MoodyOwlNFT",2021-12-27 12:42:42,TRUE,"1475369892283043842","1475447044529553415","927499539682070528","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Whitney12000",0,FALSE,FALSE,NA,NA
"@PetAxies Hi I would like to introduce to you that Im willing and so much dedicate to work with you and Im also a f… https://t.co/WboQdABcId",FALSE,1,"PetAxies",2021-12-27 12:42:29,TRUE,"1475061157052485636","1475446988728528897","1404543355934154755","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kent00450712",0,FALSE,FALSE,NA,NA
"RT @gocholive: SORTEO FIN DE AÑO CON GOCHO Y AXIE INFINITY
 10 $AXS <U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384>

PARA PARTICIPAR: 
<U+2705>SEGUIRME 
<U+2705>SEGUIR @AxieInfini…",FALSE,0,NA,2021-12-27 12:41:42,FALSE,NA,"1475446791592099848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","frkto18",1037,TRUE,FALSE,NA,NA
"@Doudou2016H Hi I would like to introduce to you that Im willing and so much dedicate to work with you and Im also… https://t.co/0E37gZ1TNv",FALSE,0,"Doudou2016H",2021-12-27 12:41:38,TRUE,"1475443633054978049","1475446777289396224","1125264382252834817","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kent00450712",0,FALSE,FALSE,NA,NA
"Tengo que decir que tenía pocas ganas de jugar competitivamente a Axie Infinity, pero me está ardiendo el pecho por… https://t.co/IUiMAUBWn9",FALSE,10,NA,2021-12-27 12:41:36,TRUE,NA,"1475446766262788098",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jonyrv98",2,FALSE,FALSE,NA,NA
"RT @gocholive: SORTEO FIN DE AÑO CON GOCHO Y AXIE INFINITY
 10 $AXS <U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384>

PARA PARTICIPAR: 
<U+2705>SEGUIRME 
<U+2705>SEGUIR @AxieInfini…",FALSE,0,NA,2021-12-27 12:39:46,FALSE,NA,"1475446304511827972",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BetsabethVarela",1037,TRUE,FALSE,NA,NA
"RT @bitpinas: ""There's no playbook. We're building the playbook as we go &amp; others are learning from us. And we are learning from ourselves""…",FALSE,0,NA,2021-12-27 12:39:38,FALSE,NA,"1475446271892623361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LeonidasRodan",21,TRUE,FALSE,NA,NA
"RT @MetaGamingGuild: <U+2728>PRESENTING: 10 Games That MetaGaming Guild Invested In <U+0001F4B8><U+0001F3AE><U+0001F579>

<U+0001F48E>Axie Infinity
<U+0001F48E>Nitro League
<U+0001F48E>Souni
<U+0001F48E>KingdomX
<U+0001F48E>WAM
<U+0001F48E>The K…",FALSE,0,NA,2021-12-27 12:37:58,FALSE,NA,"1475445851292147715",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yeniyatirimci",60,TRUE,FALSE,NA,NA
"AXIE INFINITY – POR QUE O SLP CAIU TANTO? https://t.co/tYm94CXpmp",FALSE,0,NA,2021-12-27 12:36:27,FALSE,NA,"1475445472823332866",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","wakanda_inu_afr",0,FALSE,FALSE,NA,NA
